"DEPTH_BIN","NEW_MRE","NEW_MAE","NEW_BIAS","OLD_MRE","OLD_MAE","OLD_BIAS","REGION"
"0-50",0.100315783149378,0.0435178596998945,1.02674295640701,0.136054019283673,0.0630694873621466,1.0015766193335,"GOA"
"50-100",0.0444696451421345,0.0189582870185426,1.01903394775846,0.0843287758190755,0.0511348444663457,0.951500313422852,"GOA"
"100-200",0.0327420003294576,0.0142273238041102,1.00515620777472,0.088265700898032,0.0440486320788723,0.942015295667179,"GOA"
"200-300",0.0317382877924005,0.0136991148250317,1.00271492267274,0.0739745290841734,0.0399614004063242,0.938101775916513,"GOA"
"300-400",0.0577172300123324,0.0236177135890422,0.994404514490344,0.100452078107725,0.0456358425557637,0.950811896911196,"GOA"
"400-500",0.0363009517985758,0.0157970924451541,0.997783483397166,0.0410919413676141,0.0181215122625672,0.989718008846834,"GOA"
"500-600",0.0440328556538761,0.0196317021976391,0.984683623349239,0.064783431522889,0.0290337468767565,0.985675848682744,"GOA"
"600-700",0.0405348605405812,0.0179934018272694,0.977653846693839,0.075956968827303,0.0357336609629971,0.939251890908243,"GOA"
"700-800",0.025185222617622,0.011045418373701,0.985790792166459,0.0362929799610986,0.0148952210398448,0.998803672471987,"GOA"
"800-900",0.0259148888040429,0.0113998630622571,0.989161940939797,0.0354173160486659,0.0155614601882287,0.987802666515987,"GOA"
"900-1000",0.0156708061464795,0.00672579347083535,1.01557474982531,0.0191293923954764,0.00820160608330911,1.01816599271901,"GOA"
